file,class,method,variable,usage
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/REServer.java,app.REServer,main/1[java.lang.String[]],LOG,2
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/AnalyticsService.java,app.AnalyticsService,getSaleViews/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/AnalyticsService.java,app.AnalyticsService,AnalyticsService/0,objectMapper,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/AnalyticsService.java,app.AnalyticsService,AnalyticsService/0,salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/AnalyticsService.java,app.AnalyticsService,getPostcodeViews/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,PropertyService/0,objectMapper,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,PropertyService/0,salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,getSaleByID/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,createSale/1[app.Context],objectMapper,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,createSale/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,findSaleByPostCode/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,findSaleByAreaType/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,getAllSales/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/PropertyService.java,app.PropertyService,findSalesByPriceRange/1[app.Context],salesDAO,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSaleByPostCode/1[app.Context],httpClient,2
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSaleByPostCode/1[app.Context],ANALYTICS_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSaleByPostCode/1[app.Context],PROPERTY_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getSaleViews/1[app.Context],ANALYTICS_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getSaleViews/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getSaleByID/1[app.Context],httpClient,2
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getSaleByID/1[app.Context],ANALYTICS_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getSaleByID/1[app.Context],PROPERTY_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSaleByAreaType/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSaleByAreaType/1[app.Context],PROPERTY_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getAllSales/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getAllSales/1[app.Context],PROPERTY_SERVICE_URL,1
